1.1    1,2     168.02           194.45           194.45              4.6        2.37      ** NA **        99      T1,B3,B3     LE_AN     0,      -4            1570,     -82838    B2090AFPASM                       B2090A_FPASM  J96429.1      17    02/24/2016 15:35:32   jims      ** NA **  ** NA **  ** NA **  ** NA **  ** NA **  ** NA **  ** NA **  ** NA **  ** NA **  ** NA **  ** NA **  ** NA **  ** NA **  ** NA **  ** NA **  ** NA **      ** NA **  ** NA **                             90          ** NA **    ** NA **  ** NA **  ** NA **  ** NA **  ** NA **  ** NA **  ** NA **  ** NA **  ** NA **  ** NA **  ** NA **  ** NA **  ** NA **  ** NA **  ** NA **  ** NA **              ** NA **              ** NA **              ** NA **               1570.80               2601.52              ** NA **              ** NA **              231.17                328.39                ** NA **              ** NA **              ** NA **              ** NA **              ** NA **              ** NA **              0.00                  0.00        ** NA **               ** NA **         ** NA **   ** NA **   ** NA **   ** NA **   ** NA **    ** NA **    Golden_FPASM_SBCX18  SCD06       0.89           -4.55          Successful    ** NA **  ** NA **  ** NA **      JAZZ          PRODUCTION    PRODUCTION            1                ** NA **                    ** NA **    ** NA **    ** NA **    ** NA **              ** NA **              ** NA **              Field         ** NA **,        ** NA **,        ** NA **,        ** NA **,        
2.1    1,2     171.95           195.45           195.45              5.1        2.61      ** NA **       100      T1,B3,B3     LE_AN    -4,      0           -85269,       2601    B2090AFPASM                       B2090A_FPASM  J96429.1      17    02/24/2016 15:35:32   jims      ** NA **  ** NA **  ** NA **  ** NA **  ** NA **  ** NA **  ** NA **  ** NA **  ** NA **  ** NA **  ** NA **  ** NA **  ** NA **  ** NA **  ** NA **  ** NA **      ** NA **  ** NA **                             92          ** NA **    ** NA **  ** NA **  ** NA **  ** NA **  ** NA **  ** NA **  ** NA **  ** NA **  ** NA **  ** NA **  ** NA **  ** NA **  ** NA **  ** NA **  ** NA **  ** NA **              ** NA **              ** NA **              ** NA **               1570.80               2601.52              ** NA **              ** NA **              232.61                330.33                ** NA **              ** NA **              ** NA **              ** NA **              ** NA **              ** NA **              0.00                  0.00        ** NA **               ** NA **         ** NA **   ** NA **   ** NA **   ** NA **   ** NA **    ** NA **    Golden_FPASM_SBCX18  SCD06       -5.78          -2.15          Successful    ** NA **  ** NA **  ** NA **      JAZZ          PRODUCTION    PRODUCTION            2                ** NA **                    ** NA **    ** NA **    ** NA **    ** NA **              ** NA **              ** NA **              Field         ** NA **,        ** NA **,        ** NA **,        ** NA **,        
3.1    1,2     181.53           204.93           204.93              6.0        2.93      ** NA **       100      T1,B3,B3     LE_AN     0,      0             1570,       2601    B2090AFPASM                       B2090A_FPASM  J96429.1      17    02/24/2016 15:35:32   jims      ** NA **  ** NA **  ** NA **  ** NA **  ** NA **  ** NA **  ** NA **  ** NA **  ** NA **  ** NA **  ** NA **  ** NA **  ** NA **  ** NA **  ** NA **  ** NA **      ** NA **  ** NA **                             91          ** NA **    ** NA **  ** NA **  ** NA **  ** NA **  ** NA **  ** NA **  ** NA **  ** NA **  ** NA **  ** NA **  ** NA **  ** NA **  ** NA **  ** NA **  ** NA **  ** NA **              ** NA **              ** NA **              ** NA **               1570.80               2601.52              ** NA **              ** NA **              233.91                336.37                ** NA **              ** NA **              ** NA **              ** NA **              ** NA **              ** NA **              0.00                  0.00        ** NA **               ** NA **         ** NA **   ** NA **   ** NA **   ** NA **   ** NA **    ** NA **    Golden_FPASM_SBCX18  SCD06       -5.65          -0.69          Successful    ** NA **  ** NA **  ** NA **      JAZZ          PRODUCTION    PRODUCTION            3                ** NA **                    ** NA **    ** NA **    ** NA **    ** NA **              ** NA **              ** NA **              Field         ** NA **,        ** NA **,        ** NA **,        ** NA **,        
4.1    1,2     178.04           200.86           200.86              6.2        3.09      ** NA **        98      T1,B3,B3     LE_AN     3,      0            66700,       2601    B2090AFPASM                       B2090A_FPASM  J96429.1      17    02/24/2016 15:35:32   jims      ** NA **  ** NA **  ** NA **  ** NA **  ** NA **  ** NA **  ** NA **  ** NA **  ** NA **  ** NA **  ** NA **  ** NA **  ** NA **  ** NA **  ** NA **  ** NA **      ** NA **  ** NA **                             90          ** NA **    ** NA **  ** NA **  ** NA **  ** NA **  ** NA **  ** NA **  ** NA **  ** NA **  ** NA **  ** NA **  ** NA **  ** NA **  ** NA **  ** NA **  ** NA **  ** NA **              ** NA **              ** NA **              ** NA **               1570.80               2601.52              ** NA **              ** NA **              229.28                329.71                ** NA **              ** NA **              ** NA **              ** NA **              ** NA **              ** NA **              0.00                  0.00        ** NA **               ** NA **         ** NA **   ** NA **   ** NA **   ** NA **   ** NA **    ** NA **    Golden_FPASM_SBCX18  SCD06       -4.71          -1.53          Successful    ** NA **  ** NA **  ** NA **      JAZZ          PRODUCTION    PRODUCTION            4                ** NA **                    ** NA **    ** NA **    ** NA **    ** NA **              ** NA **              ** NA **              Field         ** NA **,        ** NA **,        ** NA **,        ** NA **,        
5.1    1,2     178.36           200.96           200.96              4.1        2.04      ** NA **        99      T1,B3,B3     LE_AN     0,      3             1570,      66681    B2090AFPASM                       B2090A_FPASM  J96429.1      17    02/24/2016 15:35:32   jims      ** NA **  ** NA **  ** NA **  ** NA **  ** NA **  ** NA **  ** NA **  ** NA **  ** NA **  ** NA **  ** NA **  ** NA **  ** NA **  ** NA **  ** NA **  ** NA **      ** NA **  ** NA **                             92          ** NA **    ** NA **  ** NA **  ** NA **  ** NA **  ** NA **  ** NA **  ** NA **  ** NA **  ** NA **  ** NA **  ** NA **  ** NA **  ** NA **  ** NA **  ** NA **  ** NA **              ** NA **              ** NA **              ** NA **               1570.80               2601.52              ** NA **              ** NA **              255.20                355.68                ** NA **              ** NA **              ** NA **              ** NA **              ** NA **              ** NA **              0.00                  0.00        ** NA **               ** NA **         ** NA **   ** NA **   ** NA **   ** NA **   ** NA **    ** NA **    Golden_FPASM_SBCX18  SCD06       -4.59          -2.63          Successful    ** NA **  ** NA **  ** NA **      JAZZ          PRODUCTION    PRODUCTION            5                ** NA **                    ** NA **    ** NA **    ** NA **    ** NA **              ** NA **              ** NA **              Field         ** NA **,        ** NA **,        ** NA **,        ** NA **,        

1.1    1,2     170.43           192.91           192.91              8.8        4.56      ** NA **       100      T1,B3,B3     LE_AN     0,      -4            1570,     -82838    B2090AFPASM                       B2090A_FPASM  J96429.1      18    02/24/2016 15:35:32   jims      ** NA **  ** NA **  ** NA **  ** NA **  ** NA **  ** NA **  ** NA **  ** NA **  ** NA **  ** NA **  ** NA **  ** NA **  ** NA **  ** NA **  ** NA **  ** NA **      ** NA **  ** NA **                             91          ** NA **    ** NA **  ** NA **  ** NA **  ** NA **  ** NA **  ** NA **  ** NA **  ** NA **  ** NA **  ** NA **  ** NA **  ** NA **  ** NA **  ** NA **  ** NA **  ** NA **              ** NA **              ** NA **              ** NA **               1570.80               2601.52              ** NA **              ** NA **              207.72                304.17                ** NA **              ** NA **              ** NA **              ** NA **              ** NA **              ** NA **              0.00                  0.00        ** NA **               ** NA **         ** NA **   ** NA **   ** NA **   ** NA **   ** NA **    ** NA **    Golden_FPASM_SBCX18  SCD06       -0.71          -6.33          Successful    ** NA **  ** NA **  ** NA **      JAZZ          PRODUCTION    PRODUCTION            1                ** NA **                    ** NA **    ** NA **    ** NA **    ** NA **              ** NA **              ** NA **              Field         ** NA **,        ** NA **,        ** NA **,        ** NA **,        
2.1    1,2     172.17           194.78           194.78              7.2        3.70      ** NA **       100      T1,B3,B3     LE_AN    -4,      0           -85269,       2601    B2090AFPASM                       B2090A_FPASM  J96429.1      18    02/24/2016 15:35:32   jims      ** NA **  ** NA **  ** NA **  ** NA **  ** NA **  ** NA **  ** NA **  ** NA **  ** NA **  ** NA **  ** NA **  ** NA **  ** NA **  ** NA **  ** NA **  ** NA **      ** NA **  ** NA **                             92          ** NA **    ** NA **  ** NA **  ** NA **  ** NA **  ** NA **  ** NA **  ** NA **  ** NA **  ** NA **  ** NA **  ** NA **  ** NA **  ** NA **  ** NA **  ** NA **  ** NA **              ** NA **              ** NA **              ** NA **               1570.80               2601.52              ** NA **              ** NA **              224.13                321.52                ** NA **              ** NA **              ** NA **              ** NA **              ** NA **              ** NA **              0.00                  0.00        ** NA **               ** NA **         ** NA **   ** NA **   ** NA **   ** NA **   ** NA **    ** NA **    Golden_FPASM_SBCX18  SCD06       -6.32          -1.66          Successful    ** NA **  ** NA **  ** NA **      JAZZ          PRODUCTION    PRODUCTION            2                ** NA **                    ** NA **    ** NA **    ** NA **    ** NA **              ** NA **              ** NA **              Field         ** NA **,        ** NA **,        ** NA **,        ** NA **,        
3.1    1,2     169.21           191.72           191.72              6.9        3.60      ** NA **       100      T1,B3,B3     LE_AN     0,      0             1570,       2601    B2090AFPASM                       B2090A_FPASM  J96429.1      18    02/24/2016 15:35:32   jims      ** NA **  ** NA **  ** NA **  ** NA **  ** NA **  ** NA **  ** NA **  ** NA **  ** NA **  ** NA **  ** NA **  ** NA **  ** NA **  ** NA **  ** NA **  ** NA **      ** NA **  ** NA **                             91          ** NA **    ** NA **  ** NA **  ** NA **  ** NA **  ** NA **  ** NA **  ** NA **  ** NA **  ** NA **  ** NA **  ** NA **  ** NA **  ** NA **  ** NA **  ** NA **  ** NA **              ** NA **              ** NA **              ** NA **               1570.80               2601.52              ** NA **              ** NA **              233.78                329.64                ** NA **              ** NA **              ** NA **              ** NA **              ** NA **              ** NA **              0.00                  0.00        ** NA **               ** NA **         ** NA **   ** NA **   ** NA **   ** NA **   ** NA **    ** NA **    Golden_FPASM_SBCX18  SCD06       -6.12          -0.35          Successful    ** NA **  ** NA **  ** NA **      JAZZ          PRODUCTION    PRODUCTION            3                ** NA **                    ** NA **    ** NA **    ** NA **    ** NA **              ** NA **              ** NA **              Field         ** NA **,        ** NA **,        ** NA **,        ** NA **,        
4.1    1,2     173.83           197.37           197.37              6.4        3.24      ** NA **       100      T1,B3,B3     LE_AN     3,      0            66700,       2601    B2090AFPASM                       B2090A_FPASM  J96429.1      18    02/24/2016 15:35:32   jims      ** NA **  ** NA **  ** NA **  ** NA **  ** NA **  ** NA **  ** NA **  ** NA **  ** NA **  ** NA **  ** NA **  ** NA **  ** NA **  ** NA **  ** NA **  ** NA **      ** NA **  ** NA **                             89          ** NA **    ** NA **  ** NA **  ** NA **  ** NA **  ** NA **  ** NA **  ** NA **  ** NA **  ** NA **  ** NA **  ** NA **  ** NA **  ** NA **  ** NA **  ** NA **  ** NA **              ** NA **              ** NA **              ** NA **               1570.80               2601.52              ** NA **              ** NA **              227.50                326.18                ** NA **              ** NA **              ** NA **              ** NA **              ** NA **              ** NA **              0.00                  0.00        ** NA **               ** NA **         ** NA **   ** NA **   ** NA **   ** NA **   ** NA **    ** NA **    Golden_FPASM_SBCX18  SCD06       -4.67          -1.65          Successful    ** NA **  ** NA **  ** NA **      JAZZ          PRODUCTION    PRODUCTION            4                ** NA **                    ** NA **    ** NA **    ** NA **    ** NA **              ** NA **              ** NA **              Field         ** NA **,        ** NA **,        ** NA **,        ** NA **,        
5.1    1,2     175.55           1A8.48           198.48              4.6        2.32      ** NA **       100      T1,B3,B3     LE_AN     0,      3             1570,      66681    B2090AFPASM                       B2090A_FPASM  J96429.1      18    02/24/2016 15:35:32   jims      ** NA **  ** NA **  ** NA **  ** NA **  ** NA **  ** NA **  ** NA **  ** NA **  ** NA **  ** NA **  ** NA **  ** NA **  ** NA **  ** NA **  ** NA **  ** NA **      ** NA **  ** NA **                             90          ** NA **    ** NA **  ** NA **  ** NA **  ** NA **  ** NA **  ** NA **  ** NA **  ** NA **  ** NA **  ** NA **  ** NA **  ** NA **  ** NA **  ** NA **  ** NA **  ** NA **              ** NA **              ** NA **              ** NA **               1570.80               2601.52              ** NA **              ** NA **              229.65                328.89                ** NA **              ** NA **              ** NA **              ** NA **              ** NA **              ** NA **              0.00                  0.00        ** NA **               ** NA **         ** NA **   ** NA **   ** NA **   ** NA **   ** NA **    ** NA **    Golden_FPASM_SBCX18  SCD06       -4.46          -2.75          Successful    ** NA **  ** NA **  ** NA **      JAZZ          PRODUCTION    PRODUCTION            5                ** NA **                    ** NA **    ** NA **    ** NA **    ** NA **              ** NA **              ** NA **              Field         ** NA **,        ** NA **,        ** NA **,        ** NA **,        
